b8d7 node 376, Score -10, alpha -10, beta 0
b8c6 node 379, Score -5, alpha -10, beta 0
b8a6 node 380, Score -5, alpha -5, beta 0
g8h6 node 381, Score -5, alpha -5, beta 0
g8f6 node 382, Score -5, alpha -5, beta 0
c8d7 node 383, Score -5, alpha -5, beta 0
c8e6 node 386, Score 0, alpha -5, beta 0
	c1f4 node 386, Score 0, alpha 0, beta 30000
a7a6 node 390, Score -25, alpha -30000, beta 0
a7a5 node 391, Score -25, alpha -25, beta 0
b7b6 node 392, Score -25, alpha -25, beta 0
b7b5 node 393, Score -25, alpha -25, beta 0
c7c6 node 396, Score -20, alpha -25, beta 0
c7c5 node 398, Score -20, alpha -20, beta 0
e7e6 node 401, Score -20, alpha -20, beta 0
e7e5 node 405, Score -20, alpha -20, beta 0
f7f6 node 406, Score -20, alpha -20, beta 0
f7f5 node 409, Score -10, alpha -20, beta 0
g7g6 node 410, Score -10, alpha -10, beta 0
h7h6 node 411, Score -10, alpha -10, beta 0
h7h5 node 412, Score -10, alpha -10, beta 0
b8d7 node 415, Score -5, alpha -10, beta 0
b8c6 node 418, Score 0, alpha -5, beta 0
	c1g5 node 418, Score 0, alpha 0, beta 30000
a7a6 node 422, Score -15, alpha -30000, beta 0
a7a5 node 423, Score -15, alpha -15, beta 0
b7b6 node 424, Score -15, alpha -15, beta 0
b7b5 node 425, Score -15, alpha -15, beta 0
c7c6 node 428, Score -10, alpha -15, beta 0
c7c5 node 435, Score 0, alpha -10, beta 0
	c1h6 node 435, Score 0, alpha 0, beta 30000
a7a6 node 437, Score -5, alpha -30000, beta 0
a7a5 node 438, Score -5, alpha -5, beta 0
b7b6 node 439, Score -5, alpha -5, beta 0
b7b5 node 440, Score -5, alpha -5, beta 0
c7c6 node 441, Score 0, alpha -5, beta 0
	d1d2 node 441, Score 0, alpha 0, beta 30000
a7a6 node 447, Score -10, alpha -30000, beta 0
a7a5 node 448, Score -10, alpha -10, beta 0
b7b6 node 449, Score -10, alpha -10, beta 0
b7b5 node 450, Score -10, alpha -10, beta 0
c7c6 node 453, Score -5, alpha -10, beta 0
c7c5 node 455, Score -5, alpha -5, beta 0
e7e6 node 458, Score 0, alpha -5, beta 0
	d1d3 node 458, Score 0, alpha 0, beta 30000
a7a6 node 460, Score 0, alpha -30000, beta 0
	e1d2 node 460, Score 0, alpha 0, beta 30000
Store pv move c1e3 at 65534
		d7d5 node 460, Score 0, alpha -30000, beta 30000
a5a4 node 463, Score 0, alpha 0, beta 30000
b7b6 node 464, Score 0, alpha 0, beta 30000
b7b5 node 465, Score 0, alpha 0, beta 30000
c7c6 node 466, Score 0, alpha 0, beta 30000
c7c5 node 467, Score 0, alpha 0, beta 30000
d7d6 node 468, Score 0, alpha 0, beta 30000
d7d5 node 469, Score 0, alpha 0, beta 30000
e7e6 node 470, Score 0, alpha 0, beta 30000
e7e5 node 471, Score 0, alpha 0, beta 30000
f7f6 node 472, Score 0, alpha 0, beta 30000
f7f5 node 473, Score 0, alpha 0, beta 30000
g7g6 node 474, Score 0, alpha 0, beta 30000
g7g5 node 475, Score 0, alpha 0, beta 30000
h7h6 node 476, Score 0, alpha 0, beta 30000
h7h5 node 477, Score 0, alpha 0, beta 30000
b8c6 node 478, Score 0, alpha 0, beta 30000
b8a6 node 479, Score 0, alpha 0, beta 30000
g8h6 node 480, Score 0, alpha 0, beta 30000
g8f6 node 481, Score 0, alpha 0, beta 30000
a8a7 node 482, Score 0, alpha 0, beta 30000
a8a6 node 483, Score 0, alpha 0, beta 30000
	a2a3 node 483, Score 0, alpha -30000, beta 0
		a7a5 node 483, Score 0, alpha 0, beta 30000
b6b5 node 486, Score 0, alpha 0, beta 30000
a7a6 node 487, Score 0, alpha 0, beta 30000
a7a5 node 488, Score 0, alpha 0, beta 30000
c7c6 node 489, Score 0, alpha 0, beta 30000
c7c5 node 490, Score 0, alpha 0, beta 30000
d7d6 node 491, Score 0, alpha 0, beta 30000
d7d5 node 492, Score 0, alpha 0, beta 30000
e7e6 node 493, Score 0, alpha 0, beta 30000
e7e5 node 494, Score 0, alpha 0, beta 30000
f7f6 node 495, Score 0, alpha 0, beta 30000
f7f5 node 496, Score 0, alpha 0, beta 30000
g7g6 node 497, Score 0, alpha 0, beta 30000
g7g5 node 498, Score 0, alpha 0, beta 30000
h7h6 node 499, Score 0, alpha 0, beta 30000
h7h5 node 500, Score 0, alpha 0, beta 30000
b8c6 node 501, Score 0, alpha 0, beta 30000
b8a6 node 502, Score 0, alpha 0, beta 30000
g8h6 node 503, Score 0, alpha 0, beta 30000
g8f6 node 504, Score 0, alpha 0, beta 30000
c8b7 node 505, Score 0, alpha 0, beta 30000
c8a6 node 506, Score 0, alpha 0, beta 30000
	a2a3 node 506, Score 0, alpha -30000, beta 0
		b7b6 node 506, Score 0, alpha 0, beta 30000
b5b4 node 509, Score 0, alpha 0, beta 30000
a7a6 node 510, Score 0, alpha 0, beta 30000
a7a5 node 511, Score 0, alpha 0, beta 30000
c7c6 node 512, Score 0, alpha 0, beta 30000
c7c5 node 513, Score 0, alpha 0, beta 30000
d7d6 node 514, Score 0, alpha 0, beta 30000
d7d5 node 515, Score 0, alpha 0, beta 30000
e7e6 node 516, Score 0, alpha 0, beta 30000
e7e5 node 517, Score 0, alpha 0, beta 30000
f7f6 node 518, Score 0, alpha 0, beta 30000
f7f5 node 519, Score 0, alpha 0, beta 30000
g7g6 node 520, Score 0, alpha 0, beta 30000
g7g5 node 521, Score 0, alpha 0, beta 30000
h7h6 node 522, Score 0, alpha 0, beta 30000
h7h5 node 523, Score 0, alpha 0, beta 30000
b8c6 node 524, Score 0, alpha 0, beta 30000
b8a6 node 525, Score 0, alpha 0, beta 30000
g8h6 node 526, Score 0, alpha 0, beta 30000
g8f6 node 527, Score 0, alpha 0, beta 30000
c8b7 node 528, Score 0, alpha 0, beta 30000
c8a6 node 529, Score 0, alpha 0, beta 30000
	a2a3 node 529, Score 0, alpha -30000, beta 0
		b7b5 node 529, Score 0, alpha 0, beta 30000
c6c5 node 532, Score 0, alpha 0, beta 30000
a7a6 node 533, Score 0, alpha 0, beta 30000
a7a5 node 534, Score 0, alpha 0, beta 30000
b7b6 node 535, Score 0, alpha 0, beta 30000
b7b5 node 536, Score 0, alpha 0, beta 30000
d7d6 node 537, Score 0, alpha 0, beta 30000
d7d5 node 538, Score 5, alpha 0, beta 30000
e7e6 node 539, Score 5, alpha 5, beta 30000
e7e5 node 540, Score 5, alpha 5, beta 30000
f7f6 node 541, Score 5, alpha 5, beta 30000
f7f5 node 542, Score 5, alpha 5, beta 30000
g7g6 node 543, Score 5, alpha 5, beta 30000
g7g5 node 544, Score 5, alpha 5, beta 30000
h7h6 node 545, Score 5, alpha 5, beta 30000
h7h5 node 546, Score 5, alpha 5, beta 30000
b8a6 node 547, Score 5, alpha 5, beta 30000
g8h6 node 548, Score 5, alpha 5, beta 30000
g8f6 node 549, Score 5, alpha 5, beta 30000
d8c7 node 550, Score 5, alpha 5, beta 30000
d8b6 node 551, Score 5, alpha 5, beta 30000
d8a5 node 552, Score 5, alpha 5, beta 30000
Store pv move d7d5 at 65534
	a2a3 node 552, Score -5, alpha -30000, beta 0
c6c5 node 554, Score 0, alpha 0, beta 5
a7a6 node 555, Score 0, alpha 0, beta 5
a7a5 node 556, Score 0, alpha 0, beta 5
b7b6 node 557, Score 0, alpha 0, beta 5
b7b5 node 558, Score 0, alpha 0, beta 5
d7d6 node 559, Score 0, alpha 0, beta 5
d7d5 node 560, Score 5, alpha 0, beta 5
	a2a4 node 560, Score -5, alpha -5, beta 0
c6c5 node 562, Score 0, alpha 0, beta 5
a7a6 node 563, Score 0, alpha 0, beta 5
a7a5 node 564, Score 0, alpha 0, beta 5
b7b6 node 565, Score 0, alpha 0, beta 5
b7b5 node 566, Score 0, alpha 0, beta 5
d7d6 node 567, Score 0, alpha 0, beta 5
d7d5 node 568, Score 5, alpha 0, beta 5
	b2b3 node 568, Score -5, alpha -5, beta 0
c6c5 node 570, Score 0, alpha 0, beta 5
a7a6 node 571, Score 0, alpha 0, beta 5
a7a5 node 572, Score 0, alpha 0, beta 5
b7b6 node 573, Score 0, alpha 0, beta 5
b7b5 node 574, Score 0, alpha 0, beta 5
d7d6 node 575, Score 0, alpha 0, beta 5
d7d5 node 576, Score 5, alpha 0, beta 5
	b2b4 node 576, Score -5, alpha -5, beta 0
c6c5 node 578, Score 0, alpha 0, beta 5
a7a6 node 579, Score 0, alpha 0, beta 5
a7a5 node 580, Score 0, alpha 0, beta 5
b7b6 node 581, Score 0, alpha 0, beta 5
b7b5 node 582, Score 0, alpha 0, beta 5
d7d6 node 583, Score 0, alpha 0, beta 5
d7d5 node 584, Score 0, alpha 0, beta 5
e7e6 node 585, Score 0, alpha 0, beta 5
e7e5 node 586, Score 0, alpha 0, beta 5
f7f6 node 587, Score 0, alpha 0, beta 5
f7f5 node 588, Score 0, alpha 0, beta 5
g7g6 node 589, Score 0, alpha 0, beta 5
g7g5 node 590, Score 0, alpha 0, beta 5
h7h6 node 591, Score 0, alpha 0, beta 5
h7h5 node 592, Score 0, alpha 0, beta 5
b8a6 node 593, Score 0, alpha 0, beta 5
g8h6 node 594, Score 0, alpha 0, beta 5
g8f6 node 595, Score 0, alpha 0, beta 5
d8c7 node 596, Score 0, alpha 0, beta 5
d8b6 node 597, Score 0, alpha 0, beta 5
d8a5 node 598, Score 0, alpha 0, beta 5
	c2c3 node 598, Score 0, alpha -5, beta 0
		c7c6 node 598, Score 0, alpha 0, beta 30000
c5c4 node 601, Score 0, alpha 0, beta 30000
c5d4 node 603, Score 0, alpha 0, beta 30000
a7a6 node 604, Score 0, alpha 0, beta 30000
a7a5 node 605, Score 0, alpha 0, beta 30000
b7b6 node 606, Score 0, alpha 0, beta 30000
b7b5 node 607, Score 0, alpha 0, beta 30000
d7d6 node 608, Score 0, alpha 0, beta 30000
d7d5 node 610, Score 0, alpha 0, beta 30000
e7e6 node 611, Score 0, alpha 0, beta 30000
e7e5 node 617, Score 0, alpha 0, beta 30000
f7f6 node 618, Score 0, alpha 0, beta 30000
f7f5 node 619, Score 0, alpha 0, beta 30000
g7g6 node 620, Score 0, alpha 0, beta 30000
g7g5 node 621, Score 0, alpha 0, beta 30000
h7h6 node 622, Score 0, alpha 0, beta 30000
h7h5 node 623, Score 0, alpha 0, beta 30000
b8c6 node 625, Score 0, alpha 0, beta 30000
b8a6 node 626, Score 0, alpha 0, beta 30000
g8h6 node 627, Score 0, alpha 0, beta 30000
g8f6 node 629, Score 0, alpha 0, beta 30000
d8c7 node 630, Score 0, alpha 0, beta 30000
d8b6 node 631, Score 0, alpha 0, beta 30000
d8a5 node 632, Score 0, alpha 0, beta 30000
	a2a3 node 632, Score 0, alpha -30000, beta 0
		c7c5 node 632, Score 0, alpha 0, beta 30000
d6d5 node 635, Score 5, alpha 0, beta 30000
a7a6 node 636, Score 5, alpha 5, beta 30000
a7a5 node 637, Score 5, alpha 5, beta 30000
b7b6 node 638, Score 5, alpha 5, beta 30000
b7b5 node 639, Score 5, alpha 5, beta 30000
c7c6 node 640, Score 5, alpha 5, beta 30000
c7c5 node 641, Score 5, alpha 5, beta 30000
e7e6 node 642, Score 5, alpha 5, beta 30000
e7e5 node 647, Score 20, alpha 5, beta 30000
f7f6 node 648, Score 20, alpha 20, beta 30000
f7f5 node 649, Score 20, alpha 20, beta 30000
g7g6 node 650, Score 20, alpha 20, beta 30000
g7g5 node 651, Score 20, alpha 20, beta 30000
h7h6 node 652, Score 20, alpha 20, beta 30000
h7h5 node 653, Score 20, alpha 20, beta 30000
b8d7 node 654, Score 20, alpha 20, beta 30000
b8c6 node 655, Score 20, alpha 20, beta 30000
b8a6 node 656, Score 20, alpha 20, beta 30000
g8h6 node 657, Score 20, alpha 20, beta 30000
g8f6 node 658, Score 20, alpha 20, beta 30000
c8d7 node 659, Score 20, alpha 20, beta 30000
c8e6 node 660, Score 20, alpha 20, beta 30000
c8f5 node 661, Score 20, alpha 20, beta 30000
c8g4 node 662, Score 20, alpha 20, beta 30000
c8h3 node 663, Score 20, alpha 20, beta 30000
d8d7 node 664, Score 20, alpha 20, beta 30000
e8d7 node 665, Score 20, alpha 20, beta 30000
